jour_mois,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,et0_fao_evapotranspiration,wind_speed_10m,wind_direction_10m,direct_radiation,direct_radiation_instant
02-08,0.5402777777777776,79.36111111111111,-2.6958333333333333,0.10138888888888889,1016.7680555555556,1011.9611111111111,0.025833333333333333,18.258333333333333,164.97222222222223,22.22222222222222,21.891666666666666
02-09,2.2777777777777777,78.15277777777777,-1.3194444444444444,0.058333333333333334,1012.7097222222224,1007.9527777777779,0.042222222222222223,17.906944444444445,194.04166666666666,19.458333333333332,20.76111111111111
02-10,1.1166666666666667,82.66666666666667,-1.5972222222222223,0.23333333333333334,1006.6416666666667,1001.8972222222224,0.030833333333333338,16.616666666666667,248.83333333333334,23.09722222222222,22.09027777777778
02-11,0.2583333333333333,79.69444444444444,-3.0194444444444444,0.04583333333333334,1014.6805555555555,1009.8680555555555,0.03652777777777778,18.612499999999997,270.93055555555554,40.19444444444444,39.55555555555556
02-12,-2.0194444444444444,77.36111111111111,-5.7444444444444445,0.008333333333333335,1024.288888888889,1019.3902777777779,0.041944444444444444,17.922222222222224,228.20833333333334,61.416666666666664,61.204166666666666
02-13,-0.5,79.55555555555556,-3.763888888888889,0.034722222222222224,1022.3472222222222,1017.4777777777776,0.036944444444444446,15.211111111111112,230.97222222222223,51.93055555555556,53.30833333333334
02-14,0.5888888888888889,82.19444444444444,-2.4291666666666667,0.0041666666666666675,1021.2722222222224,1016.4375,0.037222222222222226,11.818055555555555,231.70833333333334,41.09722222222222,40.856944444444444
02-15,1.8347222222222221,79.93055555555556,-1.3972222222222221,0.05555555555555555,1020.6500000000001,1015.8416666666667,0.035277777777777776,15.427777777777777,193.19444444444446,23.444444444444443,24.56388888888889
02-16,6.816666666666666,77.77777777777777,2.6694444444444443,0.15000000000000002,1007.3847222222222,1002.7194444444444,0.058055555555555555,22.4125,209.93055555555554,1.2361111111111112,1.1208333333333333
02-17,6.626388888888889,76.51388888888889,2.529166666666667,0.10555555555555557,1005.748611111111,1001.0972222222222,0.05388888888888889,24.566666666666666,250.63888888888889,11.694444444444445,11.62361111111111
02-18,5.977777777777778,77.48611111111111,2.176388888888889,0.0875,1011.1388888888889,1006.4499999999999,0.051388888888888894,21.116666666666667,216.75,34.09722222222222,34.604166666666664
02-19,4.784722222222222,75.19444444444444,0.49444444444444435,0.13055555555555556,1011.5111111111112,1006.7986111111111,0.05027777777777778,23.34722222222222,241.58333333333334,30.63888888888889,29.58888888888889
02-20,4.980555555555556,84.19444444444444,2.476388888888889,0.13055555555555556,1013.0388888888889,1008.3263888888889,0.03305555555555555,17.55972222222222,199.91666666666666,22.36111111111111,22.359722222222224
02-21,6.093055555555555,76.08333333333333,2.0152777777777775,0.12916666666666668,1010.3958333333334,1005.7125000000001,0.05541666666666667,22.477777777777778,227.05555555555554,59.18055555555556,60.520833333333336
02-22,5.919444444444444,75.02777777777777,1.5597222222222222,0.12916666666666668,1015.8791666666667,1011.1666666666666,0.05972222222222222,20.343055555555555,224.18055555555554,46.708333333333336,47.49027777777778
02-23,6.888888888888889,78.27777777777777,3.201388888888889,0.19861111111111113,1019.6486111111111,1014.9402777777777,0.04805555555555555,17.865277777777777,238.58333333333334,39.31944444444444,39.14722222222222
02-24,7.473611111111111,77.13888888888889,3.5902777777777777,0.11249999999999999,1018.4861111111111,1013.7902777777776,0.055833333333333325,17.9125,220.79166666666666,45.77777777777778,46.474999999999994
02-25,7.290277777777778,77.15277777777777,3.3583333333333334,0.07777777777777778,1013.0041666666667,1008.3180555555555,0.057499999999999996,18.291666666666668,242.63888888888889,63.986111111111114,63.987500000000004
02-26,4.275,85.22222222222223,1.9305555555555556,0.09166666666666666,1018.2986111111111,1013.5500000000001,0.026805555555555555,13.379166666666666,243.76388888888889,8.041666666666666,7.530555555555556
02-27,2.701388888888889,87.5,0.7625,0.023611111111111114,1025.0347222222222,1020.2277777777776,0.03027777777777778,10.654166666666667,201.75,30.63888888888889,32.020833333333336
02-28,2.4000000000000004,82.81944444444444,-0.3652777777777778,0.020833333333333332,1028.0541666666666,1023.2263888888889,0.037500000000000006,11.676388888888889,218.44444444444446,51.56944444444444,49.84722222222222
02-29,6.9125000000000005,77.625,3.125,0.34166666666666673,998.1833333333334,993.5791666666668,0.05958333333333333,21.2375,196.83333333333334,48.166666666666664,43.30833333333334
03-01,3.4569444444444444,75.875,-0.5972222222222222,0.019444444444444445,1021.8249999999999,1017.0374999999999,0.050416666666666665,12.475000000000001,201.26388888888889,66.22222222222223,65.35972222222222
03-02,3.5472222222222225,80.16666666666667,0.18888888888888888,0.04583333333333333,1018.1444444444444,1013.3805555555555,0.04513888888888889,7.8069444444444445,178.45833333333334,68.11111111111111,65.45694444444445
03-03,2.801388888888889,86.97222222222223,0.7361111111111112,0.026388888888888892,1015.7319444444444,1010.9694444444444,0.034722222222222224,10.595833333333333,168.95833333333334,41.875,42.18333333333333
03-04,2.6902777777777778,84.23611111111111,0.175,0.005555555555555556,1017.2861111111112,1012.4944444444445,0.032777777777777774,11.1125,186.88888888888889,34.388888888888886,34.6375
